"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
371,"Milton Township Trustee (Vote For 4)","DREW ELLIS","",7574,9.53,83598,21496,81,81,"12","6473"
372,"Milton Township Trustee (Vote For 4)","JACQUELINE MCGRATH","",12528,15.77,83598,21496,81,81,"12","6473"
373,"Milton Township Trustee (Vote For 4)","STEPHEN SIEMER","",12024,15.13,83598,21496,81,81,"12","6473"
374,"Milton Township Trustee (Vote For 4)","LARRY L. PITTS","",11832,14.89,83598,21496,81,81,"12","6473"
375,"Milton Township Trustee (Vote For 4)","PAULA MCGOWEN","",12248,15.41,83598,21496,81,81,"12","6473"
376,"York Township Supervisor (Vote For 1)","JOHN W. VALLE","",10279,41.50,91580,25913,86,86,"15","1132"
377,"York Township Supervisor (Vote For 1)","TIMOTHY M. MURRAY","",14487,58.50,91580,25913,86,86,"15","1132"
378,"York Township Clerk (Vote For 1)","ANTHONY ""TONY"" CUZZONE","",10279,41.63,91580,25913,86,86,"8","1211"
379,"York Township Clerk (Vote For 1)","GARY KLEPPE","",14415,58.37,91580,25913,86,86,"8","1211"
380,"York Township Assessor (Vote For 1)","ANTHONY J. PACILLI","",15299,100.00,91580,25913,86,86,"0","10614"
381,"York Township Assessor (Vote For 1)","NO CANDIDATE/CANDIDATO","",0,0.00,91580,25913,86,86,"0","10614"
382,"York Township Highway Commissioner (Vote For 1)","GEORGE T. BENES","",9992,40.82,91580,25913,86,86,"10","1423"
383,"York Township Highway Commissioner (Vote For 1)","JAMES KEHRING","",14488,59.18,91580,25913,86,86,"10","1423"
384,"York Township Trustee (Vote For 4)","RAE RUPP-SRCH","",8949,9.77,91580,25913,86,86,"18","12005"
385,"York Township Trustee (Vote For 4)","JEFFREY A. MUSSATTO","",9004,9.83,91580,25913,86,86,"18","12005"
386,"York Township Trustee (Vote For 4)","KEVIN P. O'REILLY","",9403,10.27,91580,25913,86,86,"18","12005"
387,"York Township Trustee (Vote For 4)","ELLEN PICKER GREER","",9251,10.10,91580,25913,86,86,"18","12005"
388,"York Township Trustee (Vote For 4)","CLEMENT JOSEPH ""JOE"" AMORE","",13832,15.10,91580,25913,86,86,"18","12005"
389,"York Township Trustee (Vote For 4)","ILSE MESSNER","",13905,15.18,91580,25913,86,86,"18","12005"
390,"York Township Trustee (Vote For 4)","ALBERT ""AL"" RAGO","",13703,14.96,91580,25913,86,86,"18","12005"
391,"York Township Trustee (Vote For 4)","ENGY SUTHERLAND","",13528,14.77,91580,25913,86,86,"18","12005"
392,"Naperville Township Supervisor (Vote For 1)","EDDIE G. BEDFORD","",10604,100.00,64708,14148,58,58,"0","3544"
393,"Naperville Township Supervisor (Vote For 1)","NO CANDIDATE/CANDIDATO","",0,0.00,64708,14148,58,58,"0","3544"
394,"Naperville Township Clerk (Vote For 1)","NATHANAEL SIPPEL","",10486,100.00,64708,14148,58,58,"0","3662"
395,"Naperville Township Clerk (Vote For 1)","NO CANDIDATE/CANDIDATO","",0,0.00,64708,14148,58,58,"0","3662"
396,"Naperville Township Assessor (Vote For 1)","NO CANDIDATE/CANDIDATO","",0,0.00,64708,14148,58,58,"0","6426"
397,"Naperville Township Assessor (Vote For 1)","MATTHEW R. RASCHE","",7722,100.00,64708,14148,58,58,"0","6426"
398,"Naperville Township Trustee (Vote For 4)","LORETTA T. BURKE","",8914,23.07,64708,14148,58,58,"6","17936"
399,"Naperville Township Trustee (Vote For 4)","JOHN C. WALLER","",8432,21.83,64708,14148,58,58,"6","17936"
400,"Naperville Township Trustee (Vote For 4)","JULIE A. FEDERICO","",8594,22.25,64708,14148,58,58,"6","17936"
401,"Naperville Township Trustee (Vote For 4)","GAUTAM BHATIA","",7793,20.17,64708,14148,58,58,"6","17936"
402,"Naperville Township Trustee (Vote For 4)","NINA TRIVEDI","",4899,12.68,64708,14148,58,58,"6","17936"
403,"Lisle Township Supervisor (Vote For 1)","M. JOANN WRIGHT","",11608,60.22,81092,19727,77,77,"12","439"
404,"Lisle Township Supervisor (Vote For 1)","DEBBIE PAWLOWICZ","",7668,39.78,81092,19727,77,77,"12","439"
405,"Lisle Township Clerk (Vote For 1)","ROBERT SACKS","",11781,61.51,81092,19727,77,77,"7","566"
406,"Lisle Township Clerk (Vote For 1)","DAVE CARLIN","",7373,38.49,81092,19727,77,77,"7","566"
407,"Lisle Township Assessor (Vote For 1)","NO CANDIDATE/CANDIDATO","",0,0.00,81092,19727,77,77,"0","8035"
408,"Lisle Township Assessor (Vote For 1)","JOHN D. TROWBRIDGE II","",11692,100.00,81092,19727,77,77,"0","8035"
409,"Lisle Township Highway Commissioner (Vote For 1)","NO CANDIDATE/CANDIDATO","",0,0.00,81092,19727,77,77,"0","8148"
410,"Lisle Township Highway Commissioner (Vote For 1)","ED YOUNG","",11579,100.00,81092,19727,77,77,"0","8148"
411,"Lisle Township Trustee (Vote For 4)","SUSAN HOWELL","",11679,16.02,81092,19727,77,77,"14","5960"
412,"Lisle Township Trustee (Vote For 4)","MARYANN VAZQUEZ","",11338,15.55,81092,19727,77,77,"14","5960"
413,"Lisle Township Trustee (Vote For 4)","GERRY GALLOWAY","",11230,15.41,81092,19727,77,77,"14","5960"
414,"Lisle Township Trustee (Vote For 4)","DONNA RAE PREPEJCHAL","",10949,15.02,81092,19727,77,77,"14","5960"
415,"Lisle Township Trustee (Vote For 4)","RON AMATO","",7111,9.76,81092,19727,77,77,"14","5960"
416,"Lisle Township Trustee (Vote For 4)","NICOLE DI BRACCIO","",7112,9.76,81092,19727,77,77,"14","5960"
417,"Lisle Township Trustee (Vote For 4)","CHARLEY MARGOSIAN III","",6620,9.08,81092,19727,77,77,"14","5960"
418,"Lisle Township Trustee (Vote For 4)","DAVE SEASTROM","",6853,9.40,81092,19727,77,77,"14","5960"
419,"Downers Grove Township Supervisor (Vote For 1)","PAUL W. COULTRAP, JR.","",10163,39.86,108256,26335,103,103,"5","832"
420,"Downers Grove Township Supervisor (Vote For 1)","KIM SAVAGE","",15335,60.14,108256,26335,103,103,"5","832"
421,"Downers Grove Township Clerk (Vote For 1)","JASHMINE FUENTES","",9814,38.69,108256,26335,103,103,"4","964"
422,"Downers Grove Township Clerk (Vote For 1)","AMANDA ROUDEBUSH","",15553,61.31,108256,26335,103,103,"4","964"
423,"Downers Grove Township Assessor (Vote For 1)","GREGORY A. ""GREG"" BOLTZ","",15356,100.00,108256,26335,103,103,"0","10979"
424,"Downers Grove Township Assessor (Vote For 1)","NO CANDIDATE/CANDIDATO","",0,0.00,108256,26335,103,103,"0","10979"
425,"Downers Grove Township Highway Commissioner (Vote For 1)","DAVID SMITH","",9843,40.81,108256,26335,103,103,"17","2197"
426,"Downers Grove Township Highway Commissioner (Vote For 1)","NO CANDIDATE/CANDIDATO","",0,0.00,108256,26335,103,103,"17","2197"
427,"Downers Grove Township Highway Commissioner (Vote For 1)","THOMAS ""TOM"" CHLYSTEK","",14278,59.19,108256,26335,103,103,"17","2197"
428,"Downers Grove Township Trustee (Vote For 4)","LORRAINE GRIMSBY","",9491,9.91,108256,26335,103,103,"19","9492"
429,"Downers Grove Township Trustee (Vote For 4)","THERESA MCCLEAR","",9697,10.13,108256,26335,103,103,"19","9492"
430,"Downers Grove Township Trustee (Vote For 4)","DAVE RICORDATI","",9540,9.96,108256,26335,103,103,"19","9492"
431,"Downers Grove Township Trustee (Vote For 4)","PHILIP PAINTER","",9503,9.92,108256,26335,103,103,"19","9492"
432,"Downers Grove Township Trustee (Vote For 4)","RICHARD FRIEL","",14156,14.78,108256,26335,103,103,"19","9492"
433,"Downers Grove Township Trustee (Vote For 4)","KAROL SOLE","",14452,15.09,108256,26335,103,103,"19","9492"
434,"Downers Grove Township Trustee (Vote For 4)","KEVIN SZCZERBA","",14134,14.76,108256,26335,103,103,"19","9492"
435,"Downers Grove Township Trustee (Vote For 4)","MICHELLE MORENO","",14799,15.45,108256,26335,103,103,"19","9492"
436,"53 Trails Estates Park Commissioner (Vote For 2)","MARK DOWZ","",49,53.85,3600,604,4,4,"0","69"
437,"53 Trails Estates Park Commissioner (Vote For 2)","GUSTAVE R. OTTE","",42,46.15,3600,604,4,4,"0","69"
438,"53 Trails Estates Unexpired 2 Year Park Commissioner (Vote For 0)","NO CANDIDATE/CANDIDATO","",0,0.00,3600,604,4,4,"0","0"
439,"Addison Park Commissioner (Vote For 1)","HEATHER PODZIMEK","",1324,44.36,23065,3882,24,24,"9","335"
440,"Addison Park Commissioner (Vote For 1)","DEAN STATHOPOULOS","",1661,55.64,23065,3882,24,24,"9","335"
441,"Bartlett Park Commissioner (Vote For 2)","JODY E. FAGAN","",1751,55.73,21757,3042,20,20,"0","1874"
442,"Bartlett Park Commissioner (Vote For 2)","NATHAN BOTKIN","",1391,44.27,21757,3042,20,20,"0","1874"
443,"Bensenville Park Commissioner (Vote For 2)","JOHN TORNABENE","",910,22.78,15365,3152,16,16,"7","912"
444,"Bensenville Park Commissioner (Vote For 2)","NANCY GIBBS","",1307,32.72,15365,3152,16,16,"7","912"
445,"Bensenville Park Commissioner (Vote For 2)","KORY SMITH","",811,20.31,15365,3152,16,16,"7","912"
446,"Bensenville Park Commissioner (Vote For 2)","RICHARD JOHNSON","",966,24.19,15365,3152,16,16,"7","912"
447,"Bloomingdale Park Commissioner (Vote For 2)","BRYEN TRAVIS","",2054,51.31,23734,3979,24,24,"0","2101"
448,"Bloomingdale Park Commissioner (Vote For 2)","GERACE OLSON","",1949,48.69,23734,3979,24,24,"0","2101"
449,"Brookeridge Park Commissioner (Vote For 2)","ALLYSON BEUHLER","",142,52.21,1209,273,1,1,"0","164"
450,"Brookeridge Park Commissioner (Vote For 2)","HOWARD KOTLICKY","",130,47.79,1209,273,1,1,"0","164"
451,"Burr Ridge Park Commissioner (Vote For 2)","KEVIN CAPLIS","",559,49.21,7160,1212,7,7,"0","710"
452,"Burr Ridge Park Commissioner (Vote For 2)","ERICA PAULIUS","",577,50.79,7160,1212,7,7,"0","710"
453,"Butterfield Park Commissioner (Vote For 2)","LISA S. SAUNDERSON","",671,51.62,9721,2229,9,9,"0","822"
454,"Butterfield Park Commissioner (Vote For 2)","SANDRA LEE COSENZA","",629,48.38,9721,2229,9,9,"0","822"
455,"Carol Stream Park Commissioner (Vote For 3)","KATHERINE BECKER","",2570,30.01,34428,5950,34,34,"11","5115"
456,"Carol Stream Park Commissioner (Vote For 3)","ADAM PARISI","",2172,25.36,34428,5950,34,34,"11","5115"
457,"Carol Stream Park Commissioner (Vote For 3)","BRETT SPRAGUE","",1837,21.45,34428,5950,34,34,"11","5115"
458,"Carol Stream Park Commissioner (Vote For 3)","JENN PAULING","",1986,23.19,34428,5950,34,34,"11","5115"
459,"Clarendon Hills Park Commissioner (Vote For 3)","SUZANNE AUSTIN","",909,36.04,8493,2058,8,8,"0","1705"
460,"Clarendon Hills Park Commissioner (Vote For 3)","DOUG SINK","",789,31.28,8493,2058,8,8,"0","1705"
461,"Clarendon Hills Park Commissioner (Vote For 3)","LARA FETZER","",824,32.67,8493,2058,8,8,"0","1705"
462,"Darien Park Commissioner (Vote For 3)","RAY JABLONSKI","",2129,35.60,25105,5258,24,24,"0","4202"
463,"Darien Park Commissioner (Vote For 3)","LUANNE SPIROS","",2027,33.90,25105,5258,24,24,"0","4202"
464,"Darien Park Commissioner (Vote For 3)","STEVE SHANKS","",1824,30.50,25105,5258,24,24,"0","4202"
465,"Downers Grove Park Commissioner (Vote For 2)","PAMELA JOHNSON","",7505,79.60,49110,13450,46,46,"0","11910"
466,"Downers Grove Park Commissioner (Vote For 2)","Giselle Walsh (Write-In)","",1923,20.40,49110,13450,46,46,"0","11910"
467,"Elmhurst Park Commissioner (Vote For 2)","VINCE SPAETH","",5465,47.04,38103,11009,36,36,"0","8950"
468,"Elmhurst Park Commissioner (Vote For 2)","CLAIRE KUBIESA","",6153,52.96,38103,11009,36,36,"0","8950"
469,"Fox Valley At Large Park Commissioner (Vote For 1)","JOE GRISSON III","",1944,43.82,30139,5826,27,27,"1","1251"
470,"Fox Valley At Large Park Commissioner (Vote For 1)","EDWARD ASH","",2492,56.18,30139,5826,27,27,"1","1251"
471,"Fox Valley Ward 3 Park Commissioner (Vote For 1)","MAREA BERKLEY CLEMENT","",3979,100.00,30139,5826,27,27,"0","1709"
472,"Fox Valley Ward 3 Unexpired 2 Year Park Commissioner (Vote For 1)","AIMEE CISNEROS","",3721,100.00,30139,5826,27,27,"0","1967"
473,"Glen Ellyn Countryside Park Commissioner (Vote For 2)","DEBORAH LOEBER","",197,56.13,6418,915,6,6,"0","287"
474,"Glen Ellyn Countryside Park Commissioner (Vote For 2)","DARREN HICE","",154,43.87,6418,915,6,6,"0","287"
475,"Glen Ellyn Countryside Unexpired 4 Year Park Commissioner (Vote For 1)","CARLOS RAMIREZ","",221,100.00,6418,915,6,6,"0","98"
476,"Glen Ellyn Park Commissioner (Vote For 3)","JULIA NEPHEW","",3323,36.73,34610,8271,33,33,"0","10139"
477,"Glen Ellyn Park Commissioner (Vote For 3)","JAMES ""ALEX"" DURHAM","",2849,31.49,34610,8271,33,33,"0","10139"
478,"Glen Ellyn Park Commissioner (Vote For 3)","MICHAEL WARD","",2874,31.77,34610,8271,33,33,"0","10139"
479,"Golfview Hills Park Commissioner (Vote For 2)","PETE ANDREWS","",86,40.57,1040,230,1,1,"0","100"
480,"Golfview Hills Park Commissioner (Vote For 2)","RONALD STAVINGA","",126,59.43,1040,230,1,1,"0","100"
481,"Hanover Park Park Commissioner (Vote For 2)","GRACE KHAN","",688,52.48,14770,1789,16,16,"0","869"
482,"Hanover Park Park Commissioner (Vote For 2)","MARK PARLANTI","",623,47.52,14770,1789,16,16,"0","869"
483,"Itasca Park Commissioner (Vote For 2)","LINDA AIANI","",659,52.68,8050,1318,8,8,"0","651"
484,"Itasca Park Commissioner (Vote For 2)","KEITH MCCLELLAN","",592,47.32,8050,1318,8,8,"0","651"
485,"Lemont Park Commissioner (Vote For 2)","MICHAEL SCARLATI","",0,0.00,2280,404,2,2,"0","0"
486,"Lemont Park Commissioner (Vote For 2)","STEVEN RICHMOND","",0,0.00,2280,404,2,2,"0","0"
487,"Lisle Park Commissioner (Vote For 3)","JEFFREY MICHAEL PEREIRA","",2538,23.48,26300,6860,25,25,"14","5997"
488,"Lisle Park Commissioner (Vote For 3)","KARI ALTPETER","",2403,22.23,26300,6860,25,25,"14","5997"
489,"Lisle Park Commissioner (Vote For 3)","THOMAS HUMMEL","",1740,16.10,26300,6860,25,25,"14","5997"
490,"Lisle Park Commissioner (Vote For 3)","TIMOTHY WESSEL","",1915,17.72,26300,6860,25,25,"14","5997"
491,"Lisle Park Commissioner (Vote For 3)","WENDY NADEAU","",2213,20.47,26300,6860,25,25,"14","5997"
492,"Lombard Park Commissioner (Vote For 3)","MARGARET E. FUGIEL","",4224,32.97,38494,9472,36,36,"9","10612"
493,"Lombard Park Commissioner (Vote For 3)","ALEX FERGUSON","",3046,23.77,38494,9472,36,36,"9","10612"
494,"Lombard Park Commissioner (Vote For 3)","MICHAEL KUDERNA","",3235,25.25,38494,9472,36,36,"9","10612"
495,"Lombard Park Commissioner (Vote For 3)","ALEXANDER L. DUGAW","",2307,18.01,38494,9472,36,36,"9","10612"
496,"Medinah Park Commissioner (Vote For 3)","GOKHAN CUKUROVA","",301,17.54,9223,1559,10,10,"1","825"
497,"Medinah Park Commissioner (Vote For 3)","JACLYN SCAFIDI","",566,32.98,9223,1559,10,10,"1","825"
498,"Medinah Park Commissioner (Vote For 3)","RUSSELL BEAN","",415,24.18,9223,1559,10,10,"1","825"
499,"Medinah Park Commissioner (Vote For 3)","JOHN BLANKENSHIP","",434,25.29,9223,1559,10,10,"1","825"
500,"Medinah Unexpired 2 Year Park Commissioner (Vote For 1)","ALYSSA NEITZKE","",382,53.50,9223,1559,10,10,"2","132"
501,"Medinah Unexpired 2 Year Park Commissioner (Vote For 1)","MATTHEW MCALEVY","",332,46.50,9223,1559,10,10,"2","132"
502,"Naperville Park Commissioner (Vote For 4)","LESLIE RUFFING","",10350,20.58,76452,19266,71,71,"14","20523"
503,"Naperville Park Commissioner (Vote For 4)","ZACHARY W. JARRELL","",6515,12.95,76452,19266,71,71,"14","20523"
504,"Naperville Park Commissioner (Vote For 4)","NATALIA DAGENHART","",5654,11.24,76452,19266,71,71,"14","20523"
505,"Naperville Park Commissioner (Vote For 4)","AISHWARYA BALAKRISHNA","",8445,16.79,76452,19266,71,71,"14","20523"
506,"Naperville Park Commissioner (Vote For 4)","RHONDA ANSIER","",9243,18.38,76452,19266,71,71,"14","20523"
507,"Naperville Park Commissioner (Vote For 4)","ALISON THOMPSON","",10090,20.06,76452,19266,71,71,"14","20523"
508,"Oak Brook Park Commissioner (Vote For 1)","LARA SULEIMAN","",1200,46.69,11598,3896,12,12,"1","126"
509,"Oak Brook Park Commissioner (Vote For 1)","TINA CHAN","",1370,53.31,11598,3896,12,12,"1","126"
510,"Oakbrook Terrace Park Commissioner (Vote For 0)","NO CANDIDATE/CANDIDATO","",0,0.00,6260,1522,6,6,"0","0"
511,"Oakbrook Terrace Unexpired 4 Year Park Commissioner (Vote For 1)","SUSAN A. LUGO","",586,100.00,6260,1522,6,6,"0","209"
512,"Roselle Park Commissioner (Vote For 3)","LAURA ELLISON","",1287,37.55,15284,2806,15,15,"0","2552"
513,"Roselle Park Commissioner (Vote For 3)","JEFFREY PETO","",1073,31.31,15284,2806,15,15,"0","2552"
514,"Roselle Park Commissioner (Vote For 3)","ROBERT FURLIN","",1067,31.14,15284,2806,15,15,"0","2552"
515,"St. Charles Park Commissioner (Vote For 4)","STEVEN WARD","",61,29.05,1216,233,1,1,"0","218"
516,"St. Charles Park Commissioner (Vote For 4)","CRAIG NEWMAN","",52,24.76,1216,233,1,1,"0","218"
517,"St. Charles Park Commissioner (Vote For 4)","KARRSTEN GOETTEL","",50,23.81,1216,233,1,1,"0","218"
518,"St. Charles Park Commissioner (Vote For 4)","BOB CARNE","",47,22.38,1216,233,1,1,"0","218"
519,"Tri State Park Commissioner (Vote For 2)","SHEILA PRUETER","",210,51.85,7429,1547,7,7,"0","293"
520,"Tri State Park Commissioner (Vote For 2)","RICHARD T. VACHATA","",195,48.15,7429,1547,7,7,"0","293"
521,"Tri State Unexpired 2 Year Park Commissioner (Vote For 2)","STEVEN M. INICIS","",226,56.78,7429,1547,7,7,"0","300"
522,"Tri State Unexpired 2 Year Park Commissioner (Vote For 2)","HUZEFA RAJA","",172,43.22,7429,1547,7,7,"0","300"
523,"Wards Creek Park Commissioner (Vote For 2)","ATANU MAZUMDER","",77,45.29,2219,479,2,2,"0","56"
524,"Wards Creek Park Commissioner (Vote For 2)","WILLIAM RADECKI","",93,54.71,2219,479,2,2,"0","56"
525,"Wards Creek Unexpired 2 Year Park Commissioner (Vote For 0)","NO CANDIDATE/CANDIDATO","",0,0.00,2219,479,2,2,"0","0"
526,"Wards Creek Unexpired 4 Year Park Commissioner (Vote For 2)","JOHN T. ""JACK"" NOVAK","",84,55.26,2219,479,2,2,"0","74"
527,"Wards Creek Unexpired 4 Year Park Commissioner (Vote For 2)","THOMAS CLAES","",68,44.74,2219,479,2,2,"0","74"
528,"Warrenville Park Commissioner (Vote For 3)","COLIN A. WILKIE","",1358,26.56,16674,4387,16,16,"0","3072"
